name,final
bonsai_image_0031.jpg,0
bonsai_image_0032.jpg,0
bonsai_image_0036.jpg,0
bonsai_image_0048.jpg,0
bonsai_image_0057.jpg,0
bonsai_image_0060.jpg,1
bonsai_image_0078.jpg,0
bonsai_image_0087.jpg,0
bonsai_image_0015.jpg,0
bonsai_image_0035.jpg,0
bonsai_image_0055.jpg,1
bonsai_image_0061.jpg,0
bonsai_image_0102.jpg,0
bonsai_image_0112.jpg,0
bonsai_image_0115.jpg,1
bonsai_image_0008.jpg,0
bonsai_image_0009.jpg,0
bonsai_image_0020.jpg,1
bonsai_image_0021.jpg,0
bonsai_image_0027.jpg,0
bonsai_image_0046.jpg,1
bonsai_image_0050.jpg,0
bonsai_image_0065.jpg,0
bonsai_image_0090.jpg,0
bonsai_image_0106.jpg,1
bonsai_image_0125.jpg,0
bonsai_image_0038.jpg,0
bonsai_image_0067.jpg,0
bonsai_image_0004.jpg,0
bonsai_image_0044.jpg,0
bonsai_image_0047.jpg,0
bonsai_image_0022.jpg,1
bonsai_image_0023.jpg,0
bonsai_image_0040.jpg,0
bonsai_image_0069.jpg,0
bonsai_image_0072.jpg,1
bonsai_image_0089.jpg,1
bonsai_image_0028.jpg,1
bonsai_image_0029.jpg,0
bonsai_image_0066.jpg,1
bonsai_image_0108.jpg,0
bonsai_image_0028,0
bonsai_image_0029,0
bonsai_image_0066,0
bonsai_image_0108,0
bonsai_image_0002.jpg,0
bonsai_image_0043.jpg,0
bonsai_image_0080.jpg,0
bonsai_image_0034.jpg,1
bonsai_image_0068.jpg,1
bonsai_image_0071.jpg,0
bonsai_image_0074.jpg,0
bonsai_image_0109.jpg,0
bonsai_image_0118.jpg,0
bonsai_image_0025.jpg,0
bonsai_image_0058.jpg,0
bonsai_image_0070.jpg,0
bonsai_image_0079.jpg,0
bonsai_image_0126.jpg,1
bonsai_image_0005.jpg,0
bonsai_image_0024.jpg,1
bonsai_image_0042.jpg,0
bonsai_image_0111.jpg,0
bonsai_image_0052.jpg,1
bonsai_image_0114.jpg,0
bonsai_image_0117.jpg,0
bonsai_image_0001.jpg,0
bonsai_image_0007.jpg,0
bonsai_image_0053.jpg,0
bonsai_image_0082.jpg,1
bonsai_image_0016.jpg,1
bonsai_image_0026.jpg,0
bonsai_image_0051.jpg,1
bonsai_image_0064.jpg,1
bonsai_image_0086.jpg,0
bonsai_image_0003.jpg,0
bonsai_image_0014.jpg,0
bonsai_image_0033.jpg,0
bonsai_image_0056.jpg,0
bonsai_image_0092.jpg,0
bonsai_image_0101.jpg,0
bonsai_image_0100.jpg,0
bonsai_image_0121.jpg,0
bonsai_image_0088.jpg,0
bonsai_image_0107.jpg,0
bonsai_image_0127.jpg,0
bonsai_image_0049.jpg,0
bonsai_image_0104.jpg,0
bonsai_image_0113.jpg,1
bonsai_image_0037.jpg,0
bonsai_image_0110.jpg,0
bonsai_image_0019.jpg,0
bonsai_image_0062.jpg,0
bonsai_image_0012.jpg,0
bonsai_image_0030.jpg,0
bonsai_image_0054.jpg,1
bonsai_image_0010.jpg,1
bonsai_image_0017.jpg,0
bonsai_image_0045.jpg,0
bonsai_image_0077.jpg,0
bonsai_image_0085.jpg,1
bonsai_image_0095.jpg,0
bonsai_image_0097.jpg,1
bonsai_image_0073.jpg,0
bonsai_image_0076.jpg,0
bonsai_image_0081.jpg,0
bonsai_image_0098.jpg,0
bonsai_image_0103.jpg,0
bonsai_image_0105.jpg,0
bonsai_image_0041.jpg,0
bonsai_image_0122.jpg,0
bonsai_image_0128.jpg,0
bonsai_image_0059.jpg,1
bonsai_image_0063.jpg,0
bonsai_image_0116.jpg,0
bonsai_image_0120.jpg,0
bonsai_image_0093.jpg,0
bonsai_image_0094.jpg,0
bonsai_image_0084.jpg,1
bonsai_image_0013.jpg,1
bonsai_image_0018.jpg,0
bonsai_image_0039.jpg,0
bonsai_image_0099.jpg,0
bonsai_image_0091.jpg,0
bonsai_image_0096.jpg,0
bonsai_image_0119.jpg,0
bonsai_image_0011.jpg,1
bonsai_image_0123.jpg,0
bonsai_image_0006.jpg,0
bonsai_image_0075.jpg,0
bonsai_image_0083.jpg,1
bonsai_image_0124.jpg,0
